Day,Amount Spent (USD),Result Type,Results,Reporting Starts,Reporting Ends
10/19/18,2.47,Website Registrations Completed,1,10/19/18,10/19/18
10/18/18,0.438311688,,,10/18/18,10/18/18
10/18/18,2.561688312,Website Registrations Completed,1,10/18/18,10/18/18
10/17/18,0.59,Website Registrations Completed,1,10/17/18,10/17/18
10/17/18,2.56,,,10/17/18,10/17/18
10/16/18,2.71,Website Registrations Completed,1,10/16/18,10/16/18
10/16/18,0.42,,,10/16/18,10/16/18
10/15/18,0.36,,,10/15/18,10/15/18
10/15/18,2.64,,,10/15/18,10/15/18
10/14/18,0.02,,,10/14/18,10/14/18
10/14/18,0.34,,,10/14/18,10/14/18
10/14/18,2.82,,,10/14/18,10/14/18
10/13/18,0.35,Website Registrations Completed,1,10/13/18,10/13/18
10/13/18,2.37,,,10/13/18,10/13/18
10/12/18,0.29,,,10/12/18,10/12/18
10/12/18,2.55,,,10/12/18,10/12/18
10/11/18,0.27,,,10/11/18,10/11/18
10/11/18,2.85,Website Registrations Completed,1,10/11/18,10/11/18
10/10/18,0.47,,,10/10/18,10/10/18
10/10/18,2.67,,,10/10/18,10/10/18
10/10/18,0,,,10/10/18,10/10/18
10/9/18,0.83,,,10/9/18,10/9/18
10/9/18,2.21,,,10/9/18,10/9/18
10/8/18,0.25,,,10/8/18,10/8/18
10/8/18,2.67,,,10/8/18,10/8/18
10/7/18,0.67,,,10/7/18,10/7/18
10/7/18,2.55,,,10/7/18,10/7/18
10/6/18,0.29,,,10/6/18,10/6/18
10/6/18,2.64,,,10/6/18,10/6/18
10/5/18,0.36,,,10/5/18,10/5/18
10/5/18,2.66,,,10/5/18,10/5/18
10/4/18,5.4,,,10/4/18,10/4/18
10/4/18,0.74,,,10/4/18,10/4/18
10/4/18,0,,,10/4/18,10/4/18
10/3/18,1.32,,,10/3/18,10/3/18
10/3/18,5.5,Website Registrations Completed,1,10/3/18,10/3/18
10/2/18,0.01,,,10/2/18,10/2/18
10/2/18,1.55,,,10/2/18,10/2/18
10/2/18,5.25,Website Registrations Completed,1,10/2/18,10/2/18
10/1/18,0.02,,,10/1/18,10/1/18
10/1/18,1.52,,,10/1/18,10/1/18
10/1/18,6.91,,,10/1/18,10/1/18
9/30/18,0.22,,,9/30/18,9/30/18
9/30/18,7.22,Website Registrations Completed,2,9/30/18,9/30/18
9/29/18,0.06,,,9/29/18,9/29/18
9/29/18,1.94,,,9/29/18,9/29/18
9/28/18,1.76,,,9/28/18,9/28/18
9/28/18,0.23,,,9/28/18,9/28/18
9/27/18,0.11,,,9/27/18,9/27/18
9/27/18,1.81,,,9/27/18,9/27/18
9/26/18,0.16,,,9/26/18,9/26/18
9/26/18,1.86,Website Registrations Completed,1,9/26/18,9/26/18
9/25/18,0.06,,,9/25/18,9/25/18
9/25/18,1.96,Website Registrations Completed,1,9/25/18,9/25/18
9/24/18,0.05,Website Registrations Completed,1,9/24/18,9/24/18
9/24/18,1.99,,,9/24/18,9/24/18
9/23/18,0.17,,,9/23/18,9/23/18
9/23/18,1.84,Website Registrations Completed,4,9/23/18,9/23/18
9/22/18,1.85,Website Registrations Completed,1,9/22/18,9/22/18
9/22/18,0.11,,,9/22/18,9/22/18
9/21/18,1.92,Website Registrations Completed,2,9/21/18,9/21/18
9/21/18,0.09,,,9/21/18,9/21/18
9/20/18,0.19,,,9/20/18,9/20/18
9/20/18,2.17,Website Registrations Completed,2,9/20/18,9/20/18
9/19/18,0.14,,,9/19/18,9/19/18
9/19/18,2.83,Website Registrations Completed,3,9/19/18,9/19/18
9/18/18,0.14,Website Registrations Completed,1,9/18/18,9/18/18
9/18/18,2.83,Website Registrations Completed,1,9/18/18,9/18/18
9/17/18,0.14,,,9/17/18,9/17/18
9/17/18,2.95,Website Registrations Completed,2,9/17/18,9/17/18
9/16/18,4.45,,,9/16/18,9/16/18
9/16/18,0.25,,,9/16/18,9/16/18
9/15/18,4.22,Website Registrations Completed,1,9/15/18,9/15/18
9/15/18,0.34,,,9/15/18,9/15/18
9/14/18,4.05,,,9/14/18,9/14/18
9/14/18,0.16,,,9/14/18,9/14/18
9/13/18,0.19,,,9/13/18,9/13/18
9/13/18,7.71,,,9/13/18,9/13/18
9/12/18,0.079797126,,,9/12/18,9/12/18
