Age,Amount Spent (USD),Reach
55-64,0.13,120
65+,0.02,26
65+,0.02,28
55-64,0.15,146
45-54,2.71,938
35-44,6.98,2472
25-34,3.68,2192
18-24,0.19,412
35-44,6.75,2742
25-34,3.73,2400
18-24,0.12,410
45-54,2.52,896
55-64,0.18,179
65+,0.02,46
65+,0.04,35
55-64,0.31,124
45-54,2.64,782
35-44,6.63,2248
25-34,3.2,1756
18-24,0.17,302
18-24,0.11,290
25-34,2.34,1378
35-44,5.39,1898
45-54,2.04,704
55-64,0.23,106
65+,0.06,24
65+,0.06,34
55-64,0.2,117
45-54,1.95,602
35-44,4.55,1812
25-34,1.94,1205
18-24,0.19,319
25-34,3.83,1752
18-24,0.25,326
55-64,0.24,116
65+,0.07,24
35-44,7.47,2218
45-54,2.85,804
35-44,8.44,2588
25-34,6.02,2430
18-24,0.35,322
45-54,2.15,636
55-64,0.22,86
65+,0.03,18
65+,0.019967742,6
55-64,0.089854839,37
45-54,0.569080645,236
35-44,3.154903226,965
25-34,2.26633871,1049
18-24,0.089854839,112
18-24,0.29,492
25-34,9.11,3856
35-44,12.76,3272
45-54,1.89,776
55-64,0.19,134
65+,0.05,30
35-44,14.45,3673
25-34,13.29,4509
18-24,0.39,364
45-54,2.33,750
55-64,0.21,114
65+,0.02,18
65+,0.05,29
55-64,0.16,98
45-54,2.62,724
35-44,17.34,4200
25-34,15.65,5340
18-24,0.36,304
18-24,1.719512057,908
25-34,15.11571064,4966
35-44,13.7161078,3471
45-54,3.439024113,1040
55-64,1.049702128,376
65+,0.199943262,112
35-44,11.04,3188
25-34,12.49,4896
18-24,1.12,868
45-54,4.73,1252
55-64,1.17,384
65+,0.21,84
65+,0.21,82
55-64,0.73,292
45-54,3.86,1122
35-44,10.81,2888
25-34,10.13,3645
18-24,0.44,534
18-24,0.99,612
25-34,12.58,4912
35-44,10.62,3098
45-54,2.75,1006
55-64,0.79,342
65+,0.24,84
65+,0.4,168
55-64,1.2,516
45-54,4.19,1380
35-44,15.79,4476
25-34,18.15,6964
18-24,1.26,1184
65+,0.1,58
55-64,0.35,144
45-54,3.98,914
35-44,13.38,3384
25-34,12.49,4580
18-24,0.34,546
18-24,0.44,456
25-34,14.64,5643
35-44,15.73,3927
45-54,3.97,988
55-64,0.23,140
65+,0.07,43
65+,0.05,36
55-64,0.29,185
45-54,3.32,852
35-44,10.67,3274
25-34,12.18,4400
18-24,0.42,530
65+,0.079961914,46
55-64,0.489766722,246
45-54,6.466919781,1044
35-44,16.72203523,3386
25-34,17.72155915,4647
18-24,0.509757201,562
35-44,19.07,3916
18-24,1.12,648
25-34,18.81,5164
45-54,9.69,1392
65+,0.27,64
55-64,1.61,304
65+,0.31,112
55-64,2.11,556
45-54,8.09,1752
35-44,17.23,3816
25-34,15.76,5340
18-24,1.62,1132
55-64,0.37,52
45-54,7.98,1372
35-44,22.08,4972
25-34,12.86,4468
18-24,1.45,936
18-24,3.2,1176
35-44,22.94,5715
25-34,15.01,5547
45-54,7.29,1280
55-64,0.07,20
65+,0.819717631,100
55-64,2.879008264,488
45-54,12.69562672,2103
35-44,21.71252066,5554
25-34,17.04412879,5734
18-24,2.908997934,1228
65+,0.94,116
55-64,4.39,596
45-54,16.05,2272
35-44,20.52,4879
25-34,16.41,5283
18-24,3.04,1124
35-44,17.87636438,4507
18-24,1.909611631,1008
25-34,13.69721431,5215
45-54,11.99755998,2064
65+,0.629871899,112
55-64,3.059377796,532
65+,0.59,108
55-64,2.8,528
45-54,11.28,2032
35-44,21.28,5596
25-34,15.8,6276
18-24,2.51,1296
35-44,21.31,6308
18-24,3.17,1796
25-34,18.64,8304
65+,0.14,40
45-54,6.58,1496
55-64,0.29,204
18-24,2.26,1496
65+,0.07,43
55-64,0.2,180
45-54,5.18,1336
35-44,22.05,6488
25-34,17.24,7604
45-54,9.078576356,1608
18-24,2.949537473,1460
25-34,18.85704296,7016
65+,0.099984321,51
35-44,31.8550047,8204
55-64,0.929854186,224
65+,0.46,44
55-64,2.01,316
45-54,7.31,1628
35-44,30.73,7628
25-34,19.45,6092
18-24,3.93,1744
65+,0.09,32
55-64,0.51,244
45-54,4.73,1212
35-44,23.64,6439
25-34,17.85,6667
18-24,3.06,1496
35-44,8.14,2110
18-24,0.46,502
25-34,9.55,3102
45-54,0.77,340
55-64,0.11,88
65+,0.05,28
65+,0,22
55-64,0.17,111
45-54,0.99,368
35-44,12.39,2736
25-34,14.44,4058
18-24,0.54,510
18-24,0.399814471,524
65+,0.039981447,34
55-64,0.10994898,138
45-54,1.079499072,438
35-44,11.09485158,2926
25-34,8.825904453,3736
35-44,8.18,2160
18-24,0.43,464
25-34,5.63,2484
45-54,1.11,414
55-64,0.17,100
65+,0.03,24
35-44,9.46,1928
25-34,6.52,2194
18-24,0.48,442
45-54,1,306
55-64,0.13,83
65+,0.03,26
65+,0.02,32
55-64,0.48,128
45-54,4.5,952
35-44,10.05,2706
25-34,7.08,2810
18-24,0.48,380
35-44,6.22,2182
18-24,0.42,466
25-34,3.85,2264
55-64,0.22,118
45-54,2.77,758
65+,0.03,32
65+,0.01,28
55-64,0.13,106
45-54,2.94,690
35-44,7.25,2102
25-34,5.36,2576
18-24,0.4,472
45-54,2.74,588
35-44,7.46,2132
18-24,0.53,554
55-64,0.09,104
65+,0.01,28
25-34,6.85,2706
35-44,12.88,3584
18-24,0.46,640
25-34,11.19,4248
45-54,6.3,1174
65+,0.06,32
55-64,0.37,142
18-24,0.36,536
65+,0.06,36
55-64,0.81,226
45-54,6.04,1256
35-44,9.68,2708
25-34,7.57,3182
18-24,0.52,505
65+,0.03,21
55-64,0.09,89
45-54,0.51,329
35-44,3.82,1508
25-34,1.28,1366
45-54,1.84,620
18-24,0.55,640
25-34,1.86,1688
55-64,0.17,112
35-44,7.37,2228
65+,0.05,28
65+,0.07,42
55-64,0.16,154
45-54,0.95,560
35-44,12.44,3620
25-34,10.66,4634
18-24,1.07,954
18-24,0.32,478
65+,0.03,28
55-64,0.16,112
45-54,0.43,380
35-44,8,2554
25-34,6.31,2858
45-54,0.74,381
18-24,0.16,316
25-34,2.49,1478
55-64,0.12,88
35-44,5.99,1893
65+,0.01,23
35-44,9.61,2714
25-34,6.47,2996
18-24,0.25,510
45-54,3.42,880
55-64,0.23,128
65+,0.05,29
65+,0.01,16
55-64,0.09,74
45-54,1.23,355
35-44,3.34,1193
25-34,1.14,1286
18-24,0.28,419
25-34,0.58,1083
13-17,0,1
18-24,0.2,353
55-64,0.13,81
35-44,1.71,862
45-54,0.43,295
65+,0,21
65+,0.01,31
